# ID RA DEC FCC Mem MType BTmag
FCC326 57.0170362648818 -36.74494413820224 326 1 dE1 18.6
FCC327 57.039907453408226 -37.5239356255738 327 1 dE3? 17.4
FCC328 57.09133316565077 -36.106072337492925 328 1 dE 18.4
FCC329 57.231196777052446 -35.951362862367525 329 2 dE 18.2
FCC330 57.307045995029874 -35.92556101094338 330 2 dE 19.4
FCC331 57.30210039193438 -36.972775646551405 331 1 dE 17.1
FCC334 57.596125253279475 -35.24673523106167 334 2 dE(boxy) 18.6
FCC336 57.71845178567926 -35.1705690784178 336 1 "dE pec" 17.6
FCC337 57.754737998031125 -36.68240274729427 337 1 "dE / ImV" 17.8
FCC340 58.32279894401885 -37.83253359105924 340 2 dE 18.2
